,Cluster_0_mean,Cluster_0_z_diff,Cluster_1_mean,Cluster_1_z_diff,Cluster_2_mean,Cluster_2_z_diff
Population below age 15 years (%),30.137777777777778,0.7377748180645556,28.259444444444444,0.37302755163746093,22.776300578034682,-0.6917258130649975
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",936.4880208333333,-0.06528746740455897,982.5923611111112,0.32414641903585073,942.6653179190752,-0.013109108549330147
Female population age 6 years and above who ever attended school (%),65.24743055555557,-0.6126618440069923,79.61916666666667,0.7893997437113396,75.07098265895954,0.34569314892138087
Women age 20-24 years married before age 18 years (%),28.76909722222222,0.6754927769478556,15.531944444444443,-0.39568787999134,14.491040462427744,-0.4799202092531962
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method6 (%),50.63229166666666,-0.31247716310396273,38.82194444444444,-1.1892364634642574,61.678670520231215,0.507567769778518
Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey) (%),49.583958333333335,-0.5435244998241368,45.48388888888889,-0.747413242494665,72.73924855491329,0.6079445358640675
Institutional births (in the 5 years before the survey) (%),84.69479166666666,-0.34678806690346925,72.40277777777777,-1.4003526042783832,95.50838150289017,0.5800588172723774
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),73.97626736111111,-0.3187068633330844,67.09722222222223,-0.9014195475525898,83.08478323699421,0.4528606475829904
Children under 5 years who are stunted (height-for-age)18 (%),39.50345486111111,0.7229424343984118,30.138680555555553,-0.40002579315708947,29.150578034682077,-0.5185131907498052
Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),23.36793402777778,0.7480794041408487,8.201736111111112,-1.3152943541588793,15.30436416184971,-0.3489759389974718
All women age 15-49 years who are anaemic22 (%),60.43333333333333,0.38738287012412814,40.964375,-1.2734990627299205,55.21908959537572,-0.057440271905187114
Population living in households that use an improved sanitation facility2 (%),60.62458333333333,-0.7982878247554291,83.07638888888889,0.7829736148748175,79.08040462427745,0.5015398649091819
Households using clean fuel for cooking3 (%),36.9825,-0.7103651646390322,47.81472222222222,-0.2617674205672074,69.728612716763,0.6457584442106362
Men age 15 years and above who use any kind of tobacco (%),47.83506944444444,0.5183604919096775,54.419444444444444,0.9892792630678147,31.67624277456647,-0.63732927344182
Households with any usual member covered under a health insurance/financing scheme (%),38.189166666666665,-0.08888287875093222,35.16076388888889,-0.2206997775354072,42.98602601156069,0.11990940191565777
Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey) (Rs.),2594.0295138888887,-0.3818770102807006,7250.130555555558,1.58440552179287,3470.2667630057804,-0.011839938174118379
