NFHS_District,lower_name,GeoJSON_District,_merge
Adilabad ,adilabad,Adilabad,both
Agar Malwa ,agar malwa,,left_only
Agra ,agra,Agra,both
Ahmadabad ,ahmadabad,Ahmadabad,both
Ahmadnagar ,ahmadnagar,,left_only
,ahmednagar,Ahmednagar,right_only
Aizawl ,aizawl,Aizawl,both
Ajmer ,ajmer,Ajmer,both
Akola ,akola,Akola,both
Alappuzha ,alappuzha,Alappuzha,both
Aligarh ,aligarh,Aligarh,both
Alirajpur ,alirajpur,,left_only
Allahabad ,allahabad,Allahabad,both
Almora ,almora,Almora,both
Alwar ,alwar,Alwar,both
Ambala ,ambala,Ambala,both
Ambedkar Nagar ,ambedkar nagar,Ambedkar Nagar,both
Amethi ,amethi,,left_only
Amravati ,amravati,Amravati,both
Amreli ,amreli,Amreli,both
Amritsar ,amritsar,Amritsar,both
Anand ,anand,Anand,both
Anantapur ,anantapur,Anantapur,both
Anantnag ,anantnag,,left_only
,anantnag (kashmir south),Anantnag (Kashmir South),right_only
,andaman islands,Andaman Islands,right_only
,angul,Angul,right_only
Anjaw ,anjaw,,left_only
Anugul ,anugul,,left_only
Anuppur ,anuppur,Anuppur,both
Araria ,araria,Araria,both
Aravali ,aravali,,left_only
Ariyalur ,ariyalur,Ariyalur,both
Arwal ,arwal,,left_only
Ashoknagar ,ashoknagar,Ashoknagar,both
Auraiya ,auraiya,Auraiya,both
Aurangabad ,aurangabad,Aurangabad,both
Azamgarh ,azamgarh,Azamgarh,both
,badaun,Badaun,right_only
Badgam ,badgam,,left_only
Bagalkot ,bagalkot,Bagalkot,both
,bagdam,Bagdam,right_only
Bageshwar ,bageshwar,Bageshwar,both
Baghpat ,baghpat,Baghpat,both
Bahraich ,bahraich,Bahraich,both
Baksa ,baksa,,left_only
Balaghat ,balaghat,Balaghat,both
Balangir ,balangir,,left_only
Baleshwar ,baleshwar,Baleshwar,both
Ballia ,ballia,Ballia,both
Balod ,balod,,left_only
Baloda Bazar ,baloda bazar,,left_only
Balrampur ,balrampur,Balrampur,both
Banas Kantha ,banas kantha,Banas Kantha,both
Banda ,banda,Banda,both
Bandipore ,bandipore,,left_only
Bangalore ,bangalore,,left_only
Bangalore Rural ,bangalore rural,Bangalore Rural,both
,bangalore urban,Bangalore Urban,right_only
Banka ,banka,Banka,both
Bankura ,bankura,Bankura,both
Banswara ,banswara,Banswara,both
Bara Banki ,bara banki,Bara Banki,both
,baragarh,Baragarh,right_only
Baramula ,baramula,,left_only
,baramula (kashmir north),Baramula (Kashmir North),right_only
Baran ,baran,Baran,both
,barddhaman,Barddhaman,right_only
Bareilly ,bareilly,Bareilly,both
Bargarh ,bargarh,,left_only
Barmer ,barmer,Barmer,both
Barnala ,barnala,,left_only
Barpeta ,barpeta,Barpeta,both
Barwani ,barwani,Barwani,both
Bastar ,bastar,Bastar,both
Basti ,basti,Basti,both
Bathinda ,bathinda,Bathinda,both
Baudh ,baudh,,left_only
Begusarai ,begusarai,Begusarai,both
Belgaum ,belgaum,Belgaum,both
Bellary ,bellary,Bellary,both
Bemetara ,bemetara,,left_only
Betul ,betul,Betul,both
,bhabua,Bhabua,right_only
Bhadradri Kothagudem ,bhadradri kothagudem,,left_only
Bhadrak ,bhadrak,Bhadrak,both
Bhagalpur ,bhagalpur,Bhagalpur,both
Bhandara ,bhandara,Bhandara,both
Bharatpur ,bharatpur,Bharatpur,both
Bharuch ,bharuch,Bharuch,both
Bhavnagar ,bhavnagar,Bhavnagar,both
Bhilwara ,bhilwara,Bhilwara,both
Bhind ,bhind,Bhind,both
Bhiwani ,bhiwani,Bhiwani,both
Bhojpur ,bhojpur,Bhojpur,both
Bhopal ,bhopal,Bhopal,both
Bid ,bid,Bid,both
Bidar ,bidar,Bidar,both
Bijapur ,bijapur,Bijapur,both
Bijnor ,bijnor,Bijnor,both
Bikaner ,bikaner,Bikaner,both
Bilaspur ,bilaspur,Bilaspur,both
Birbhum ,birbhum,Birbhum,both
Bishnupur ,bishnupur,Bishnupur,both
Biswanath ,biswanath,,left_only
Bokaro ,bokaro,Bokaro,both
,bolangir,Bolangir,right_only
Bongaigaon ,bongaigaon,Bongaigaon,both
Botad ,botad,,left_only
,boudh,Boudh,right_only
Budaun ,budaun,,left_only
Bulandshahr ,bulandshahr,Bulandshahr,both
Buldana ,buldana,Buldana,both
Bundi ,bundi,Bundi,both
Burhanpur ,burhanpur,Burhanpur,both
Buxar ,buxar,Buxar,both
Cachar ,cachar,Cachar,both
Central ,central,,left_only
Chamarajanagar ,chamarajanagar,,left_only
Chamba ,chamba,Chamba,both
Chamoli ,chamoli,Chamoli,both
Champawat ,champawat,Champawat,both
Champhai ,champhai,Champhai,both
,chamrajnagar,Chamrajnagar,right_only
Chandauli ,chandauli,Chandauli,both
Chandel ,chandel,Chandel,both
Chandigarh,chandigarh,Chandigarh,both
Chandrapur ,chandrapur,Chandrapur,both
Changlang ,changlang,Changlang,both
Charaideo ,charaideo,,left_only
Charkhi Dadri ,charkhi dadri,,left_only
Chatra ,chatra,Chatra,both
Chennai ,chennai,Chennai,both
Chhatarpur ,chhatarpur,Chhatarpur,both
Chhindwara ,chhindwara,Chhindwara,both
Chhota Udaipur ,chhota udaipur,,left_only
Chikkaballapura ,chikkaballapura,,left_only
Chikmagalur ,chikmagalur,Chikmagalur,both
Chirang ,chirang,,left_only
Chitradurga ,chitradurga,Chitradurga,both
Chitrakoot ,chitrakoot,Chitrakoot,both
Chittaurgarh ,chittaurgarh,Chittaurgarh,both
Chittoor ,chittoor,Chittoor,both
Churachandpur ,churachandpur,Churachandpur,both
Churu ,churu,Churu,both
Coimbatore ,coimbatore,Coimbatore,both
Cuddalore ,cuddalore,Cuddalore,both
,cuddapah,Cuddapah,right_only
Cuttack ,cuttack,Cuttack,both
Dadra & Nagar Haveli ,dadra & nagar haveli,,left_only
,dadra and nagar haveli,Dadra and Nagar Haveli,right_only
,dahod,Dahod,right_only
Dakshin Dinajpur ,dakshin dinajpur,Dakshin Dinajpur,both
,dakshin kannad,Dakshin Kannad,right_only
Dakshina Kannada ,dakshina kannada,,left_only
Daman ,daman,Daman,both
Damoh ,damoh,Damoh,both
Dantewada ,dantewada,Dantewada,both
Darbhanga ,darbhanga,Darbhanga,both
Darjiling ,darjiling,Darjiling,both
Darrang ,darrang,Darrang,both
Datia ,datia,Datia,both
Dausa ,dausa,Dausa,both
