State/UT,Total_Districts,High Intervention Priority,High Intervention Priority (%),High-Cost & Specific-Risk,High-Cost & Specific-Risk (%),Healthcare Leaders,Healthcare Leaders (%)
 Lakshadweep ,1,0,0.0,0,0.0,1,100.0
Andaman & Nicobar Islands,3,0,0.0,1,33.33,2,66.67
Andhra Pradesh,13,1,7.69,0,0.0,12,92.31
Arunachal Pradesh,20,0,0.0,19,95.0,1,5.0
Assam,33,24,72.73,4,12.12,5,15.15
Bihar,38,38,100.0,0,0.0,0,0.0
Chandigarh,1,0,0.0,0,0.0,1,100.0
Chhattisgarh,27,16,59.26,0,0.0,11,40.74
Dadra and Nagar Haveli & Daman and Diu,3,0,0.0,0,0.0,3,100.0
Goa,2,0,0.0,0,0.0,2,100.0
Gujarat,33,15,45.45,0,0.0,18,54.55
Haryana,22,2,9.09,0,0.0,20,90.91
Himachal Pradesh,12,0,0.0,0,0.0,12,100.0
Jammu & Kashmir,20,1,5.0,2,10.0,17,85.0
Jharkhand,24,23,95.83,0,0.0,1,4.17
Karnataka,30,8,26.67,0,0.0,22,73.33
Kerala,14,0,0.0,1,7.14,13,92.86
Ladakh,2,0,0.0,0,0.0,2,100.0
Madhya Pradesh,51,32,62.75,0,0.0,19,37.25
Maharastra,36,10,27.78,0,0.0,26,72.22
Manipur,9,0,0.0,9,100.0,0,0.0
Meghalaya,11,0,0.0,11,100.0,0,0.0
Mizoram,8,0,0.0,8,100.0,0,0.0
NCT of Delhi,11,0,0.0,0,0.0,11,100.0
Nagaland,11,0,0.0,11,100.0,0,0.0
Odisha,30,16,53.33,0,0.0,14,46.67
Puducherry,4,0,0.0,0,0.0,4,100.0
Punjab,22,0,0.0,0,0.0,22,100.0
Rajasthan,33,22,66.67,0,0.0,11,33.33
Sikkim,4,0,0.0,1,25.0,3,75.0
Tamil Nadu,32,0,0.0,0,0.0,32,100.0
Telangana,31,4,12.9,0,0.0,27,87.1
Tripura,8,5,62.5,2,25.0,1,12.5
Uttar Pradesh,75,61,81.33,2,2.67,12,16.0
Uttarakhand,13,0,0.0,1,7.69,12,92.31
West Bengal,19,10,52.63,0,0.0,9,47.37
